City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
545,Guane,CU,87.44,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
547,Lydenburg,ZA,69.4,clear sky,-25.0978,30.4597,The Palms Boutique Hotel
550,Maholi,IN,69.94,overcast clouds,27.6667,80.4667,KISHAN TRACTOR SPARE PARTS
551,Aitape,PG,77.5,broken clouds,-3.1374,142.3475,
552,Bubaque,GW,82.06,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
554,Kalmunai,LK,79.18,scattered clouds,7.4167,81.8167,VS Villa
555,Wamba,NG,75.65,light rain,8.9333,8.6,Roma Zee Guest House Annex
556,Itacoatiara,BR,86.31,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
557,Fairmont,US,67.39,clear sky,39.4851,-80.1426,Country Club Motor Lodge
558,Sai Buri,TH,78.96,overcast clouds,6.7013,101.6168,สวนป่ารีสอร์ท
561,Pontes E Lacerda,BR,87.39,broken clouds,-15.2261,-59.3353,Hotel Bressan
564,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
565,Ramnagar,IN,66.69,scattered clouds,29.4,79.1167,Leisure Vacation Myrica Hotel
568,San Pedro,PH,81.63,scattered clouds,14.35,121.0167,Palines Apartment and Guesthouse
572,Pasighat,IN,72.57,overcast clouds,28.0667,95.3333,Siang Guest House
575,Cabras,IT,69.26,clear sky,39.93,8.5314,Hotel Villa Canu
578,Abnub,EG,78.01,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
579,Parvatipuram,IN,75.29,broken clouds,18.7833,83.4333,Laxman Lodge
580,Mount Holly,US,71.26,broken clouds,35.2982,-81.0159,"Holiday Inn Express & Suites Charlotte Arpt-Belmont, an IHG Hotel"
582,Buala,SB,78.93,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
583,Azul,AR,69.35,clear sky,-36.777,-59.8585,Cabañas Dulcinea
586,Springbok,ZA,66.65,overcast clouds,-29.6643,17.8865,Undulata Country Lodge
591,Sao Joao Da Barra,BR,84.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
592,Kollam,IN,78.21,broken clouds,8.8833,76.6,The Raviz Ashtamudi
595,Arrifes,PT,73.65,scattered clouds,37.7667,-25.7,Hotel Ponta Delgada
596,Pemba,MZ,77.7,few clouds,-12.974,40.5178,Guesthouse Samotina
599,Jieshi,CN,72.45,broken clouds,22.8134,115.8257,Yuehai Hotel
602,Los Llanos De Aridane,ES,71.13,few clouds,28.6585,-17.9182,Valle Aridane
605,Pascagoula,US,80.42,clear sky,30.3658,-88.5561,Regency Inn
606,Ormara,PK,80.24,clear sky,25.2088,64.6357,Kenara Colony House for Rent
607,Erzin,TR,69.49,clear sky,36.9559,36.2,Artemis Otel
608,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
612,Buin,CL,71.92,clear sky,-33.7333,-70.75,Paihuen
613,Kawalu,ID,71.65,overcast clouds,-7.3817,108.2082,West Jontor
615,Belmonte,BR,80.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
617,Venice,US,89.11,scattered clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
619,Sonamura,IN,74.95,broken clouds,23.4719,91.2664,Sorojini Guest House
620,General Roca,AR,73.69,few clouds,-39.0333,-67.5833,Hotel El Recreo
623,Kavaratti,IN,81.05,overcast clouds,10.5669,72.642,Green leaf
624,Male,MV,76.95,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
625,Ishigaki,JP,75.33,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
626,Beatrice,US,76.17,clear sky,40.2681,-96.747,Victorian Inn Beatrice
627,Skeldon,GY,84.92,broken clouds,5.8833,-57.1333,Classic International Hotel & Suites
628,Goundi,TD,75.36,scattered clouds,9.3627,17.366,
634,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
635,Salinopolis,BR,85.03,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
